,user_parameters.time_add_tnf,user_parameters.duration_add_tnf,user_parameters.concentration_tnf,score
0,192.0,12.0,0.06300852070000001,591.6666666666666
0,236.0,14.0,0.031677617300000016,3793.3333333333335
0,192.0,12.0,0.06300852070000001,614.3333333333334
0,192.0,12.0,0.06300852070000001,619.6666666666666
0,185.0,12.0,0.029934602600000013,3848.3333333333335
0,192.0,12.0,0.06300852070000001,594.6666666666666
0,235.0,9.0,-0.02962320269999999,3919.6666666666665
0,193.0,16.0,0.06166160060000001,522.0
0,193.0,16.0,0.07283351230000001,417.0
0,193.0,16.0,0.07283351230000001,393.3333333333333
0,160.0,18.0,0.04064580170000001,1835.0
0,160.0,14.0,0.05777025680000002,563.6666666666666
0,183.0,20.0,0.07283351230000001,350.3333333333333
0,93.0,17.0,0.08879828970000002,680.3333333333334
0,183.0,18.0,0.07283351230000001,414.0
0,161.0,22.0,0.1506259695,385.6666666666667
0,69.0,22.0,0.1201485575,888.6666666666666
0,149.0,25.0,0.129154915,407.6666666666667
0,149.0,23.0,0.129154915,456.3333333333333
0,103.0,19.0,0.129154915,620.0
0,149.0,23.0,0.1653661451,436.3333333333333
0,164.0,23.0,0.1198968399,375.0
0,164.0,23.0,0.1198968399,344.0
0,155.0,23.0,0.1198968399,419.3333333333333
0,164.0,23.0,0.1060379279,403.0
0,135.0,23.0,0.14452684,461.3333333333333
0,135.0,23.0,0.14452684,521.0
0,135.0,23.0,0.12253916109999999,484.6666666666667
0,117.0,17.0,0.2191215171,614.6666666666666
0,68.0,21.0,0.2787928635,588.6666666666666
0,68.0,19.0,0.2787928635,622.6666666666666
0,120.0,19.0,0.2684802849,619.3333333333334
0,125.0,18.0,0.23705766839999998,556.0
0,143.0,24.0,0.22018003129999997,508.3333333333333
0,157.0,21.0,0.24145587449999997,436.0
0,213.0,15.0,0.30030592409999995,347.0
0,209.0,13.0,0.28343838239999997,358.3333333333333
0,301.0,23.0,0.35208226449999996,406.3333333333333
0,177.0,18.0,0.22611347469999996,398.0
0,213.0,15.0,0.30030592409999995,362.6666666666667
0,202.0,19.0,0.30030592409999995,433.6666666666667
0,161.0,7.0,0.33912923249999993,411.3333333333333
0,213.0,13.0,0.20155517549999993,384.0
0,186.0,10.0,0.20155517549999993,342.6666666666667
0,215.0,6.0,0.15742675099999992,318.0
0,151.0,12.0,0.1340037283999999,368.0
0,147.0,12.0,0.1340037283999999,376.0
0,147.0,12.0,0.1340037283999999,394.6666666666667
0,147.0,12.0,0.1340037283999999,389.6666666666667
0,147.0,12.0,0.1340037283999999,422.3333333333333
0,129.0,15.0,0.1629917294999999,503.6666666666667
0,279.0,12.0,0.19778361109999992,428.3333333333333
0,137.0,14.0,0.1576570598999999,460.3333333333333
0,261.0,18.0,0.24340122039999992,329.3333333333333
0,266.0,14.0,0.2865667637999999,369.3333333333333
0,285.0,15.0,0.2632811437999999,434.6666666666667
0,247.0,12.0,0.2960722468999999,353.3333333333333
0,245.0,16.0,0.21634939509999987,362.3333333333333
0,208.0,24.0,0.21995319569999985,381.6666666666667
0,245.0,16.0,0.21634939509999987,366.6666666666667
0,161.0,24.0,0.17805413889999988,408.6666666666667
0,245.0,24.0,0.16357514779999988,342.3333333333333
0,374.0,21.0,0.016963105799999878,3800.3333333333335
0,164.0,24.0,0.19874864359999986,453.6666666666667
0,245.0,24.0,0.16357514779999988,373.0
0,269.0,22.0,0.19248420149999987,371.0
0,401.0,13.0,0.08876444429999986,547.6666666666666
0,418.0,17.0,0.07789770869999986,492.6666666666667
0,418.0,15.0,0.07789770869999986,575.0
0,498.0,14.0,0.10787942329999986,709.3333333333334
0,408.0,17.0,-0.017336954300000137,3861.3333333333335
0,385.0,14.0,0.07789770869999986,635.6666666666666
0,397.0,14.0,0.08884272569999986,503.0
0,383.0,10.0,0.047371613899999866,3217.6666666666665
0,367.0,18.0,0.06503105229999986,775.0
0,399.0,17.0,0.12966919129999985,404.0
0,424.0,17.0,0.16575683689999984,345.6666666666667
0,406.0,23.0,0.10331260709999984,427.0
0,432.0,17.0,0.12777771349999986,362.3333333333333
0,419.0,25.0,0.15312511179999985,339.3333333333333
0,503.0,16.0,0.24330911259999985,661.0
0,551.0,16.0,0.13596769659999985,580.3333333333334
0,356.0,17.0,0.06275425569999984,865.3333333333334
0,518.0,19.0,0.30260329149999987,513.6666666666666
0,539.0,9.0,0.18986444259999985,612.3333333333334
0,402.0,25.0,0.15312511179999985,364.6666666666667
0,354.0,19.0,0.28079953659999984,465.6666666666667
0,395.0,25.0,0.15203992779999986,391.0
0,458.0,13.0,0.012187934799999856,3896.3333333333335
0,449.0,13.0,0.10883589039999986,495.3333333333333
0,395.0,25.0,0.15203992779999986,352.0
0,395.0,26.0,0.17321029909999985,367.3333333333333
0,395.0,26.0,0.17321029909999985,384.3333333333333
0,350.0,26.0,0.17321029909999985,501.3333333333333
0,236.0,23.0,0.29484263959999985,401.6666666666667
0,275.0,23.0,0.24566084099999985,405.3333333333333
0,365.0,20.0,0.23365650319999987,440.6666666666667
0,261.0,22.0,0.16692838319999986,316.3333333333333
0,290.0,26.0,0.15052773799999986,345.3333333333333
0,290.0,29.0,0.15052773799999986,361.3333333333333
