,test,viable volume,non-viable volume,best result
0,test29,91,9,-0.8388126704879622
1,test30,88,12,-1.0039963954871154
2,test12,93,7,-1.0124103131301068
3,test18,93,7,-1.0283350817338568
4,test24,89,11,-1.019238433025235
5,test10,92,8,-0.9590636359846411
6,test19,97,3,-1.001962567754425
7,test15,94,6,-0.9100375756036508
8,test8,98,2,-1.0287159708647422
9,test7,90,10,-1.0147846878544955
10,test25,89,11,-0.9678153304523258
11,test3,89,11,-0.9508022210724992
12,test11,94,6,-1.0231562645126346
13,test2,92,8,-0.9939484774805424
14,test4,96,4,-1.0301716852203218
15,test28,89,11,-1.0213986894143363
16,test20,90,10,-0.971108133817382
17,test9,98,2,-1.0258711300058023
18,test23,92,8,-1.023565080034129
19,test5,95,5,-1.0215130583075218
20,test26,96,4,-1.0147830267321845
21,test17,89,11,-0.9669298993656992
22,test27,93,7,-1.0165565513410917
23,test13,91,9,-0.8715656573822554
24,test6,93,7,-1.0038317314309817
25,test1,89,11,-0.9963226640986428
26,test16,92,8,-1.0153004888578896
27,test21,92,8,-0.9586391796410394
28,test22,93,7,-0.9860740985440309
29,test14,98,2,-0.9917092109195352
