,"algorithm","viable mean","non-viable mean","minimum","minimum mean","viable var","non-viable var","minimum var","nr. evaluations"
0,"Hide-and-seek adaptive","89.63333333333334","10.366666666666667",,"-0.9432748760353831","17.96436781609195","17.96436781609195","0.006831378035989729",100
0,"Hide-and-seek geometric","22.533333333333335","2.466666666666667",,"-0.6260145586585839","2.326436781609195","2.3264367816091958","0.14025785487566497",25
0,"randomsearch","1.68","23.32",,"-0.4416912009326542","1.5599999999999996","1.5599999999999996","0.1265673248179608",25
0,"Hide-and-seek adaptive","22.233333333333334","2.7666666666666666",,"-0.6992437606824077","3.9781609195402288","3.97816091954023","0.06552097368587283",25
0,"improving hit-and-run","45.96666666666667","4.033333333333333",,"-0.9806962824845334","7.343678160919537","7.343678160919539","0.005477427752484026",50
0,"randomsearch","3.96","46.04",,"-0.6746157904532397","5.789999999999999","5.789999999999999","0.07129161091826851",50
0,"improving hit-and-run","92.43333333333334","7.566666666666666",,"-1.0162853869019444","9.633333333333333","9.633333333333336","0.000462339492598819",100
0,"Hide-and-seek geometric","92.5","7.5",,"-0.9889473303519025","8.948275862068966","8.948275862068966","0.002162498187828691",100
0,"improving hit-and-run","22.7","2.3",,"-0.6609422945872973","2.7","2.6999999999999997","0.16024033468279175",25
0,"Hide-and-seek geometric","45.53333333333333","4.466666666666667",,"-0.9048437996638121","4.947126436781607","4.947126436781608","0.029753336720550364",50
0,"randomsearch","6.68","93.32",,"-0.8550864577310907","3.643333333333335","3.643333333333331","0.03156982232532055",100
0,"Hide-and-seek adaptive","43.833333333333336","6.166666666666667",,"-0.7903701282045422","5.798850574712642","5.798850574712645","0.04303158167686773",50
