,test,best result,viable result,evaluations
0,test29,-1.0185275270993008,12,25
1,test29,-1.0185275270993008,15,50
2,test29,-1.0185275270993008,23,100
3,test30,-0.3606821776596643,3,25
4,test30,-0.8048881804670804,10,50
5,test30,-0.9398534159609137,19,100
6,test12,-0.9675411375612456,3,25
7,test12,-0.9675411375612456,5,50
8,test12,-0.9675411375612456,11,100
9,test18,-0.600233622521713,3,25
10,test18,-0.9524893472896804,4,50
11,test18,-0.9524893472896804,14,100
12,test24,-0.9220805091821254,2,25
13,test24,-0.9220805091821254,8,50
14,test24,-0.9842298656127928,17,100
15,test10,-0.8086605774043463,2,25
16,test10,-0.8086605774043463,6,50
17,test10,-0.8086605774043463,10,100
18,test19,-0.6781169083514995,4,25
19,test19,-0.8465128439219243,11,50
20,test19,-0.8465128439219243,16,100
21,test15,-0.6855277126888729,4,25
22,test15,-0.7563256728375511,7,50
23,test15,-0.7563256728375511,8,100
24,test8,-0.7175976669597992,7,25
25,test8,-0.7175976669597992,8,50
26,test8,-0.9702488306371472,12,100
27,test7,-0.7529040840937423,4,25
28,test7,-0.7529040840937423,7,50
29,test7,-0.7529040840937423,12,100
30,test25,-0.9971603213316408,5,25
31,test25,-0.9971603213316408,7,50
32,test25,-0.9971603213316408,15,100
33,test3,-0.7657751277048843,7,25
34,test3,-0.9711943951695696,15,50
35,test3,-1.018018316925633,25,100
36,test11,-0.7715961381768409,4,25
37,test11,-0.7715961381768409,5,50
38,test11,-0.9874968342321192,13,100
39,test2,-0.9920965464930409,8,25
40,test2,-1.014427006475524,14,50
41,test2,-1.014427006475524,23,100
42,test4,-0.4275421450714181,2,25
43,test4,-0.4275421450714181,3,50
44,test4,-0.8221120473997157,16,100
45,test28,-0.09424150429776934,1,25
46,test28,-0.6265887305913218,5,50
47,test28,-0.8678539001505591,11,100
48,test20,-0.6444444676015884,2,25
49,test20,-0.7598413009286961,8,50
50,test20,-0.7957778629997752,16,100
51,test9,-0.4677634366105368,2,25
52,test9,-0.8823823287909413,4,50
53,test9,-0.8823823287909413,12,100
54,test23,-0.3821706471020962,6,25
55,test23,-0.3821706471020962,6,50
56,test23,-0.8577398699451775,15,100
57,test5,-0.9445414394681876,4,25
58,test5,-0.9445414394681876,6,50
59,test5,-0.9445414394681876,12,100
60,test26,-1.0048833179187515,7,25
61,test26,-1.0048833179187515,7,50
62,test26,-1.0048833179187515,14,100
63,test17,-0.6772618741889476,3,25
64,test17,-0.9849355711943923,6,50
65,test17,-0.9849355711943923,15,100
66,test27,-1.0204282264682658,4,25
67,test27,-1.0204282264682658,11,50
68,test27,-1.0204282264682658,21,100
69,test13,-0.4040578946340437,3,25
70,test13,-0.4040578946340437,7,50
71,test13,-0.80826914009646,15,100
72,test6,-0.5469681975943756,3,25
73,test6,-0.6909821100452995,8,50
74,test6,-0.6909821100452995,13,100
75,test1,-0.8892043186912424,9,25
76,test1,-1.0009100284319363,11,50
77,test1,-1.008765063050887,23,100
78,test16,-0.4786998623927801,3,25
79,test16,-0.8491685897700821,13,50
80,test16,-0.8491685897700821,18,100
81,test21,-0.4699783819405825,7,25
82,test21,-0.777794994130345,11,50
83,test21,-1.024512775370442,25,100
84,test22,-0.6503541461670239,8,25
85,test22,-0.6503541461670239,15,50
86,test22,-0.9505021249358832,30,100
87,test14,-0.02213504735653243,1,25
88,test14,-0.6326086231457422,6,50
89,test14,-0.9123601472346566,12,100
